Rok,Liczba psów w schroniskach,Liczba psów adoptowanych ze schronisk,Liczba psów w schroniskach - stan na koniec roku,Liczba kotów w schroniskach,Liczba kotów adoptowanych ze schronisk,Liczba kotów w schroniskach - stan na koniec roku,Liczba wszystkich schronisk,"Liczba schronisk, w których przebywały psy"
2005,83897,44334,,18470,7102,,,
2006,88897,48228,,17583,7921,,,
2007,91715,48446,,17232,9000,,,
2008,93789,51209,,18120,9815,,,
2009,96122,53309,,19587,11222,,,
2010,98671,54574,,21419,11798,,,
2011,100265,54665,,20470,11813,,,
2012,105539,59124,,21832,12772,,161,160
2013,106267,58464,,27480,13723,,174,173
2014,105664,59310,,24111,14380,,183,177
2015,109908,65142,35883,26420,16644,3935,205,196
2016,112727,66223,39166,29621,17868,5584,218,211
2017,109962,64669,36526,32245,19985,5263,213,212
2018,107325,71042,35466,29326,18570,4762,216,216
2019,105188,66176,33046,31116,20017,5662,227,227
2020,92422,63358,24248,32507,21245,5778,230,230
2021,82316,53961,24012,33367,20237,6775,228,228
2022,84008,53503,25890,34050,20345,7452,226,226
2023,81778,51162,26021,35391,20478,7491,230,224
2024,76410,49212,23433,35290,21513,7275,222,212